Mineral,id,xcoord,ycoord
Diamond (Kimberline),5,28.36171449,-25.0985614
Diamond (Kimberline),5,26.95095815,-25.32479079
Diamond (Kimberline),5,31.5975574,-26.14328366
Diamond (Kimberline),5,29.1789364,-24.28133949
Diamond (Kimberline),5,29.29586395,-24.25083665
Diamond (Kimberline),5,28.31977308,-22.97353023
Diamond (Kimberline),5,29.31111537,-22.45498196
Diamond (Kimberline),5,20.00012355,-26.75969521
Diamond (Kimberline),5,18.54558626,-30.37238107
Gold,1,30.72314266,-23.02119092
Gold,1,30.80194166,-23.05423566
Gold,1,30.69518172,-23.09236421
Gold,1,30.6799303,-23.09998992
Gold,1,30.65959508,-23.13303467
Gold,1,30.89345018,-23.11778325
Gold,1,30.83498641,-23.18895654
Gold,1,30.79431595,-23.20547891
Gold,1,30.7536455,-23.19658225
Gold,1,30.68882697,-23.21945938
Gold,1,30.70407838,-23.24233651
Gold,1,30.79939976,-23.28427791
Gold,1,30.76254216,-23.32367741
Gold,1,30.81210928,-23.36561882
Gold,1,30.78541929,-23.39993451
Gold,1,30.68247221,-23.42154069
Gold,1,30.67357555,-23.45585639
Gold,1,30.64688556,-23.33003217
Gold,1,30.56554465,-23.29063267
Gold,1,30.55029323,-23.30588409
Gold,1,30.38888237,-23.32621932
Gold,1,29.92879788,-23.37451548
Gold,1,30.13215014,-23.56770013
Gold,1,29.12047262,-23.28809077
Gold,1,29.35941153,-23.45077258
Gold,1,29.83220555,-23.7735943
Gold,1,31.04723533,-23.82189046
Gold,1,30.92522397,-23.8129938
Gold,1,30.76889692,-23.86637377
Gold,1,30.69899458,-23.93246326
Gold,1,30.63671795,-23.92356659
Gold,1,30.57189941,-23.94644372
Gold,1,30.61638272,-23.965508
Gold,1,30.57571227,-23.98075942
Gold,1,30.56681561,-24.02397178
Gold,1,30.52106135,-24.00999131
Gold,1,30.54012562,-23.97694656
Gold,1,30.49945517,-24.00617845
Gold,1,30.48420375,-23.99473989
Gold,1,30.45878472,-24.01253321
Gold,1,30.45751376,-23.92483755
Gold,1,30.42573997,-23.93881801
Gold,1,30.41557236,-23.92737945
Gold,1,30.39650808,-23.90196042
Gold,1,30.31516718,-23.98711418
Gold,1,30.27958053,-24.02651368
Gold,1,30.22365866,-24.02270082
Gold,1,30.0597059,-23.99728179
Gold,1,29.93261073,-23.98965608
Gold,1,29.84618602,-24.05320366
Gold,1,29.80932842,-24.07099699
Gold,1,29.4127915,-24.00999131
Gold,1,29.39372723,-24.01888797
Gold,1,29.35559868,-24.02778463
Gold,1,29.3314506,-24.03413939
Gold,1,29.31111537,-24.04049415
Gold,1,29.09632454,-24.14344123
Gold,1,29.19672972,-24.12437696
Gold,1,29.26027731,-24.12818981
Gold,1,29.28569634,-24.13962838
Gold,1,29.29840586,-24.1574217
Gold,1,29.32001203,-24.11166744
Gold,1,30.73839408,-24.67215712
Gold,1,30.73839408,-24.69757615
Gold,1,30.77270977,-24.70774377
Gold,1,30.80956737,-24.66961522
Gold,1,30.83371545,-24.72172423
Gold,1,30.83625736,-24.75222707
Gold,1,30.87946971,-24.77891706
Gold,1,30.82608974,-24.78527182
Gold,1,30.76127121,-24.74205946
Gold,1,30.74220693,-24.76112373
Gold,1,30.72695551,-24.80687799
Gold,1,30.74093598,-24.85771606
Gold,1,30.82227689,-24.85771606
Gold,1,30.71805885,-24.87550938
Gold,1,30.70916219,-24.90092842
Gold,1,30.72314266,-24.91745079
Gold,1,30.7511036,-24.92126364
Gold,1,30.77906453,-24.9301603
Gold,1,30.73712313,-24.95303743
Gold,1,30.81465118,-24.95303743
Gold,1,30.80194166,-24.98608218
Gold,1,30.56554465,-25.06106833
Gold,1,30.51089373,-25.12969971
Gold,1,30.58715083,-25.09284212
Gold,1,30.62019558,-25.10682258
Gold,1,30.74220693,-25.05090071
Gold,1,30.78796119,-25.06996499
Gold,1,30.80829642,-25.09792592
Gold,1,30.82481879,-25.13986733
Gold,1,30.76508406,-25.12334496
Gold,1,30.77906453,-25.14113828
Gold,1,30.7955869,-25.19960206
Gold,1,30.72568456,-25.35974196
Gold,1,30.66467888,-25.35465816
Gold,1,30.59731845,-25.26823344
Gold,1,30.53377086,-25.29365248
Gold,1,29.55005428,-25.18943444
Gold,1,31.01164869,-26.24559527
Gold,1,31.08028007,-26.14646104
Gold,1,31.07011246,-26.12612581
Gold,1,30.97860394,-26.1185001
Gold,1,30.96208157,-26.10579059
Gold,1,30.96970728,-26.03588824
Gold,1,30.88836637,-26.01174016
Gold,1,30.9061597,-25.98377923
Gold,1,30.8324445,-25.87956119
Gold,1,30.89345018,-25.87956119
Gold,1,30.87946971,-25.8452455
Gold,1,30.91759826,-25.83761979
Gold,1,30.9455592,-25.82872312
Gold,1,30.99131346,-25.83761979
Gold,1,31.00529393,-25.8083879
Gold,1,31.03833867,-25.79567838
Gold,1,31.15780813,-25.93167021
Gold,1,31.19847858,-25.93675402
Gold,1,31.18831097,-25.88337405
Gold,1,31.27727758,-25.81220075
Gold,1,31.24041998,-25.73085985
Gold,1,31.29761281,-25.71052462
Gold,1,31.31667708,-25.66349941
Gold,1,31.2556714,-25.61520325
Gold,1,31.37259896,-25.69400225
Gold,1,31.41199846,-25.74102746
Gold,1,31.58993169,-25.58724231
Gold,1,31.60645406,-25.47285666
Gold,1,31.09044769,-25.76263364
Gold,1,31.1006153,-25.72196319
Gold,1,31.13111814,-25.71179557
Gold,1,31.15780813,-25.75373698
Gold,1,31.07265436,-25.64824799
Gold,1,31.07773817,-25.67747988
Gold,1,31.01800344,-25.65714465
Gold,1,30.96843633,-25.62409991
Gold,1,30.85913449,-25.56309423
Gold,1,30.74983264,-25.51352711
Gold,1,30.75237455,-25.60884849
Gold,1,30.70407838,-25.61520325
Gold,1,30.53122896,-25.6978151
Gold,1,27.77707672,-24.81323275
Gold,1,27.72623866,-24.84119369
Gold,1,26.94841625,-24.76747849
Gold,1,28.72012285,-25.49700474
Gold,1,28.03126706,-25.74611127
Gold,1,28.07447941,-25.8452455
Gold,1,27.55084733,-25.5402171
Gold,1,28.69470382,-26.91538679
Gold,1,28.76333521,-26.78574972
Gold,1,28.55744104,-26.60273268
Gold,1,29.04294457,-26.51630797
Gold,1,29.01244173,-26.50105655
Gold,1,29.05311219,-26.44767658
Gold,1,29.12174358,-26.40954803
Gold,1,28.46593252,-26.384129
Gold,1,28.35154687,-26.28499477
Gold,1,28.43034588,-26.22653099
Gold,1,28.38204971,-26.20873767
Gold,1,28.2219098,-26.2290729
Gold,1,28.18123935,-26.1578996
Gold,1,28.15327841,-26.20619577
Gold,1,28.12277557,-26.22144719
Gold,1,28.13802699,-26.28499477
Gold,1,28.03380896,-26.24432432
Gold,1,27.85333382,-26.18840244
Gold,1,27.76690911,-26.22398909
Gold,1,27.71098724,-26.13756438
Gold,1,27.73386437,-26.16044151
Gold,1,27.70336153,-26.37650329
Gold,1,27.58897588,-26.36887758
Gold,1,27.58643398,-26.40192232
Gold,1,27.60931111,-26.35616806
Gold,1,27.41358455,-26.39175471
Gold,1,27.38816552,-26.43242516
Gold,1,27.32207603,-26.41463184
Gold,1,27.35003697,-26.462928
Gold,1,27.28903129,-26.47817942
Gold,1,27.20769038,-26.25195003
Gold,1,27.1466847,-26.26465954
Gold,1,27.08567902,-26.50105655
Gold,1,26.85690773,-26.67644788
Gold,1,27.20260658,-26.92809631
Gold,1,26.46037081,-26.87980014
Gold,1,26.50358317,-26.8492973
Gold,1,26.51883459,-26.81625256
Gold,1,26.77302492,-26.73999546
Gold,1,26.79336014,-26.87980014
Gold,1,26.8391144,-26.93318011
Gold,1,26.82894679,-26.98147628
Gold,1,26.72981256,-26.95351534
Gold,1,26.69168401,-26.91030298
Gold,1,26.66118117,-26.97385057
Gold,1,25.94944825,-25.69654415
Gold,1,25.98884775,-25.72450509
Gold,1,26.00155726,-25.77788506
Gold,1,26.5264603,-24.70647281
Gold,1,25.23771532,-26.17569293
Gold,1,25.26313435,-26.47563752
Gold,1,25.10045254,-27.29413038
Gold,1,25.13222633,-27.35005225
Gold,1,26.62051072,-27.5800945
Gold,1,26.63957499,-27.76565345
Gold,1,26.69549687,-27.92706431
Gold,1,26.71329019,-28.03382424
Gold,1,26.7577735,-27.99188284
Gold,1,26.78573443,-27.99442474
Gold,1,26.8391144,-28.0350952
Gold,1,26.85944963,-28.09610088
Gold,1,26.71456114,-28.20794462
Gold,1,26.82259203,-28.26259554
Gold,1,26.78192158,-28.28928553
Gold,1,30.81083832,-27.25727278
Gold,1,30.85659258,-27.2674404
Gold,1,31.23533618,-27.38690985
Gold,1,31.24804569,-27.43774792
Gold,1,31.21500095,-27.47333457
Gold,1,31.2505876,-27.49112789
Gold,1,31.27346473,-27.52417263
Gold,1,30.88201162,-27.87241338
Gold,1,30.793045,-28.19396415
Gold,1,30.77143882,-28.22319604
Gold,1,30.74856169,-28.23971841
Gold,1,31.18449811,-28.29055648
Gold,1,31.2950709,-28.56126918
Gold,1,31.24041998,-28.58033346
Gold,1,31.11332482,-28.57270775
Gold,1,30.9112435,-28.63498438
Gold,1,30.9849587,-28.59431392
Gold,1,30.94047539,-28.67946769
Gold,1,31.05613199,-28.76462145
Gold,1,30.55664799,-28.73411861
Gold,1,30.76000026,-28.73538956
Gold,1,30.68755601,-28.78114382
Gold,1,30.70662029,-28.79893714
Gold,1,31.19466572,-28.93429349
Gold,1,31.21182357,-28.9184066
Gold,1,30.49055851,-30.34504983
Gold,1,30.48992303,-30.30056652
Gold,1,30.51724849,-30.28658605
Gold,1,30.40159189,-30.28658605
Gold,1,30.35266025,-30.28912796
Gold,1,23.01354992,-33.86812781
Gold,1,22.301817,-32.94033311
Gold,1,25.52683714,-25.99716291
Iron,10,30.49564231,-29.24313474
Iron,10,30.19823963,-29.60662692
Iron,10,30.5197904,-27.29349491
Iron,10,30.40794665,-27.32145584
Iron,10,30.28847719,-27.68240611
Iron,10,30.14358871,-27.64427756
Iron,10,30.15629822,-27.68748992
Iron,10,30.1385049,-27.72816037
Iron,10,30.40286284,-27.97472499
Iron,10,30.26051626,-28.02556306
Iron,10,30.20967819,-28.04335638
Iron,10,30.26814197,-28.11961348
Iron,10,30.33423145,-28.14757442
Iron,10,30.38761142,-28.12978109
Iron,10,31.03833867,-27.47142814
Iron,10,30.73369398,-26.78192426
Iron,10,31.05083942,-26.89535584
Iron,10,31.45826715,-26.88609612
Iron,10,31.59021817,-26.96017389
Iron,10,30.97444673,-26.26800975
Iron,10,31.01611547,-26.18930212
Iron,10,31.04852449,-26.18235733
Iron,10,31.02306026,-26.13142886
Iron,10,31.08787831,-26.02031221
Iron,10,31.1411217,-25.97401361
Iron,10,31.55780915,-25.53186193
Iron,10,30.4975711,-25.61519942
Iron,10,28.15254676,-25.76798482
Iron,10,27.39556457,-26.4786684
Iron,10,29.89800416,-24.93923979
Iron,10,29.571599,-23.67528788
Iron,10,28.16875127,-23.24471085
Iron,10,27.39093471,-24.48551346
Iron,10,27.65252183,-24.58274053
Iron,10,27.32148681,-24.61977942
Iron,10,27.38398992,-24.61746449
Iron,10,27.38167499,-24.65913323
Iron,10,25.28897805,-26.38144133
Iron,10,25.97419741,-26.96017389
Iron,10,22.1314132,-29.13157846
Iron,10,23.00877177,-27.77039947
Iron,10,23.11757349,-27.91855501
Iron,10,23.14072279,-27.95327896
Iron,10,23.19859605,-27.98105813
Iron,10,23.034236,-28.27968413
Iron,10,23.03886586,-28.3236678
Iron,10,22.94858358,-28.35839176
Iron,10,22.99256725,-28.4000605
Iron,10,18.56179077,-31.44882363
Iron,10,18.28399914,-31.47197293
Iron,10,18.61271924,-31.66179721
Iron,10,27.24683031,-25.94854937
Lead,11,30.37719472,-25.60362477
Lead,11,28.83776611,-26.06892575
Lead,11,28.83082132,-25.9578091
Lead,11,28.775263,-25.98558826
Lead,11,28.78452272,-26.01568235
Lead,11,28.82850639,-25.48093347
Lead,11,28.13865718,-24.19151732
Lead,11,28.72433453,-23.17063308
Lead,11,26.39319978,-24.82349328
Lead,11,27.46964234,-24.6105197
Lead,11,26.18485606,-25.7517803
Lead,11,26.31912201,-25.75409523
Lead,11,26.44181331,-25.82585807
Lead,11,27.85392076,-25.81428342
Lead,11,27.83077146,-25.83048793
Lead,11,27.86086555,-25.89993584
Lead,11,27.99281658,-25.86289696
Lead,11,28.41876374,-25.67770254
Lead,11,23.29350819,-28.84684204
Lead,11,23.34906651,-28.94406911
Lead,11,22.91848949,-29.16630241
Lead,11,18.71457617,-29.24038018
Lead,11,18.77013449,-29.25889962
Lead,11,20.79801338,-29.06907534
Lead,11,17.38117635,-28.86304655
Lead,11,30.90904995,-22.31295143
Nickel,13,29.22204453,-30.81221781
Nickel,13,30.58901084,-25.71242649
Nickel,13,31.16079861,-25.65686816
Nickel,13,30.99412363,-22.32568355
Nickel,13,27.50668122,-26.02957193
Nickel,13,21.78185874,-29.32371767
Nickel,13,29.40666022,-25.36055709
Nickel,13,18.61908529,-30.59229944
Platinum,3,28.90313989,-24.01825249
Platinum,3,28.92347512,-24.04621343
Platinum,3,29.85635363,-24.29531995
Platinum,3,29.54878333,-24.34869992
Platinum,3,29.43185578,-24.35378373
Platinum,3,30.04953828,-24.50375602
Platinum,3,30.09020874,-24.54442648
Platinum,3,30.11562777,-24.60543216
Platinum,3,30.06733161,-24.90029294
Platinum,3,29.5996214,-25.26378511
Platinum,3,28.58794388,-24.46816938
Platinum,3,27.32461794,-24.78336539
Platinum,3,27.34241126,-24.84437107
Platinum,3,27.13143328,-24.98925956
Platinum,3,27.11872377,-25.47222119
Platinum,3,27.15939422,-25.47349214
Platinum,3,27.30682461,-25.69463773
Platinum,3,27.32715984,-25.72386961
Platinum,3,27.39960408,-25.72641152
Platinum,3,27.45044215,-25.70607629
Platinum,3,27.50000926,-25.70988914
Platinum,3,27.78978624,-25.67557345
Titanium,15,27.45517403,-33.26720133
Titanium,15,28.27697426,-32.72145653
Titanium,15,28.47605826,-32.59182044
Titanium,15,29.10571929,-31.97604899
Titanium,15,29.45758869,-31.62880945
Titanium,15,30.47963039,-30.59635057
Titanium,15,30.71575327,-30.22711919
Titanium,15,30.7481623,-30.15998622
Titanium,15,30.38587571,-28.96895461
Titanium,15,30.99585983,-28.96548221
Titanium,15,31.59774169,-29.05460703
Titanium,15,31.88479304,-28.89719177
Titanium,15,32.09429423,-28.73861905
Titanium,15,32.27254386,-28.69579284
Titanium,15,32.27138639,-28.59625084
Titanium,15,32.34546416,-28.47703193
Titanium,15,32.466998,-28.18766565
Titanium,15,30.40323769,-26.17599127
Titanium,15,29.91710234,-24.84490638
Titanium,15,30.33899838,-23.91314696
Titanium,15,26.39840837,-27.31435822
Titanium,15,26.5500363,-27.22349721
Titanium,15,17.5935712,-30.66001115
Titanium,15,17.89798452,-31.30703415
Uranium,16,27.70113537,-28.97647813
Uranium,16,27.88632978,-28.58293999
Uranium,16,28.88174979,-28.58756985
Uranium,16,26.72076241,-28.16856748
Uranium,16,26.07142448,-26.72983833
Uranium,16,26.48116713,-26.80160117
Uranium,16,26.40014457,-26.89651331
Uranium,16,20.09890445,-29.20449876
Uranium,16,20.15677771,-29.23227792
Uranium,16,20.11742389,-29.45914109
Uranium,16,17.00152779,-29.33413485
Uranium,16,17.48534821,-29.80638062
Uranium,16,17.63118881,-29.88277332
Uranium,16,18.09880472,-29.01004462
Uranium,16,20.53642627,-32.51021914
Uranium,16,21.10821404,-32.54031324
Uranium,16,21.22859041,-32.45466082
Uranium,16,21.99714725,-31.55415295
Uranium,16,22.05502051,-32.13751538
Uranium,16,22.18234167,-32.36206361
Uranium,16,22.14530279,-32.40141742
Uranium,16,22.64764265,-32.4222518
Uranium,16,22.57124995,-32.60744621
Uranium,16,22.53189614,-32.62828059
Uranium,16,20.9369092,-32.89681249
Uranium,16,22.01103683,-32.9662604
Uranium,16,22.87219088,-32.66300454
Uranium,16,23.08516446,-32.59355663
Uranium,16,23.30276791,-32.48012505
Uranium,16,23.3560113,-32.3921577
Uranium,16,23.14072279,-32.11899593
Uranium,16,24.22411014,-31.67684426
Uranium,16,24.51347642,-31.54720816
Zink,18,31.35872515,-25.61404195
Zink,18,29.70817988,-26.27379707
Zink,18,30.39339924,-23.96349669
Zink,18,29.32158653,-24.68344
Zink,18,29.14565184,-25.47051628
Zink,18,27.28213299,-26.10943703
Zink,18,24.28777072,-27.43473459
Zink,18,26.03785799,-25.7517803
Zink,18,17.37886142,-28.80517329
Zink,18,18.17982728,-29.66632734
Zink,18,18.95301398,-29.24269511
Zink,18,19.89056073,-31.469658
Zink,18,22.17713308,-29.85730909
Zink,18,22.23500633,-29.8503643
Zink,18,22.31371396,-29.93485925
Zink,18,22.28824973,-29.98115786
Zink,18,21.55788924,-29.03550885
Zink,18,23.47696641,-28.59798704
Zink,18,21.05207698,-28.29588864
